lo_income,hi_income,agegroup,value
1,2499,0,899
2500,4999,0,645
5000,7499,0,"1,017"
7500,9999,0,913
10000,12499,0,"1,326"
12500,14999,0,"1,213"
15000,17499,0,"1,509"
17500,19999,0,"1,160"
20000,22499,0,"1,648"
22500,24999,0,"1,345"
25000,27499,0,"1,838"
27500,29999,0,"1,120"
30000,32499,0,"2,198"
32500,34999,0,"1,158"
35000,37499,0,"1,731"
37500,39999,0,"1,134"
40000,42499,0,"1,908"
42500,44999,0,"1,037"
45000,47499,0,"1,573"
47500,49999,0,"1,055"
50000,52499,0,"1,797"
52500,54999,0,899
55000,57499,0,"1,452"
57500,59999,0,788
60000,62499,0,"1,657"
62500,64999,0,822
65000,67499,0,"1,330"
67500,69999,0,878
70000,72499,0,"1,344"
72500,74999,0,684
75000,77499,0,"1,326"
77500,79999,0,802
80000,82499,0,"1,356"
82500,84999,0,815
85000,87499,0,"1,083"
87500,89999,0,720
90000,92499,0,"1,192"
92500,94999,0,693
95000,97499,0,915
97500,99999,0,680
1e+05,3e+05,0,"24,516"
1,2499,18,513
2500,4999,18,419
5000,7499,18,500
7500,9999,18,433
10000,12499,18,757
12500,14999,18,467
15000,17499,18,773
17500,19999,18,562
20000,22499,18,880
22500,24999,18,508
25000,27499,18,918
27500,29999,18,451
30000,32499,18,802
32500,34999,18,457
35000,37499,18,750
37500,39999,18,534
40000,42499,18,715
42500,44999,18,442
45000,47499,18,648
47500,49999,18,509
50000,52499,18,699
52500,54999,18,351
55000,57499,18,576
57500,59999,18,396
60000,62499,18,535
62500,64999,18,330
65000,67499,18,548
67500,69999,18,347
70000,72499,18,443
72500,74999,18,321
75000,77499,18,479
77500,79999,18,314
80000,82499,18,385
82500,84999,18,258
85000,87499,18,405
87500,89999,18,284
90000,92499,18,346
92500,94999,18,331
95000,97499,18,280
97500,99999,18,211
1e+05,3e+05,18,"8,579"
1,2499,25,528
2500,4999,25,361
5000,7499,25,451
7500,9999,25,512
10000,12499,25,784
12500,14999,25,562
15000,17499,25,840
17500,19999,25,669
20000,22499,25,"1,163"
22500,24999,25,773
25000,27499,25,"1,214"
27500,29999,25,740
30000,32499,25,"1,652"
32500,34999,25,672
35000,37499,25,"1,333"
37500,39999,25,824
40000,42499,25,"1,534"
42500,44999,25,693
45000,47499,25,"1,174"
47500,49999,25,690
50000,52499,25,"1,448"
52500,54999,25,651
55000,57499,25,"1,035"
57500,59999,25,553
60000,62499,25,"1,100"
62500,64999,25,569
65000,67499,25,964
67500,69999,25,578
70000,72499,25,947
72500,74999,25,537
75000,77499,25,890
77500,79999,25,517
80000,82499,25,875
82500,84999,25,507
85000,87499,25,696
87500,89999,25,429
90000,92499,25,709
92500,94999,25,408
95000,97499,25,599
97500,99999,25,373
1e+05,3e+05,25,"11,585"
1,2499,35,371
2500,4999,35,236
5000,7499,35,319
7500,9999,35,451
10000,12499,35,556
12500,14999,35,458
15000,17499,35,550
17500,19999,35,516
20000,22499,35,740
22500,24999,35,591
25000,27499,35,851
27500,29999,35,491
30000,32499,35,"1,059"
32500,34999,35,532
35000,37499,35,956
37500,39999,35,595
40000,42499,35,991
42500,44999,35,567
45000,47499,35,980
47500,49999,35,545
50000,52499,35,"1,005"
52500,54999,35,441
55000,57499,35,838
57500,59999,35,529
60000,62499,35,924
62500,64999,35,448
65000,67499,35,787
67500,69999,35,460
70000,72499,35,818
72500,74999,35,364
75000,77499,35,749
77500,79999,35,461
80000,82499,35,760
82500,84999,35,470
85000,87499,35,619
87500,89999,35,430
90000,92499,35,784
92500,94999,35,418
95000,97499,35,610
97500,99999,35,418
1e+05,3e+05,35,"14,668"
1,2499,45,386
2500,4999,45,207
5000,7499,45,284
7500,9999,45,578
10000,12499,45,626
12500,14999,45,483
15000,17499,45,594
17500,19999,45,465
20000,22499,45,711
22500,24999,45,597
25000,27499,45,741
27500,29999,45,532
30000,32499,45,922
32500,34999,45,468
35000,37499,45,985
37500,39999,45,495
40000,42499,45,981
42500,44999,45,603
45000,47499,45,890
47500,49999,45,624
50000,52499,45,940
52500,54999,45,523
55000,57499,45,779
57500,59999,45,479
60000,62499,45,899
62500,64999,45,509
65000,67499,45,728
67500,69999,45,539
70000,72499,45,813
72500,74999,45,503
75000,77499,45,839
77500,79999,45,500
80000,82499,45,789
82500,84999,45,443
85000,87499,45,649
87500,89999,45,409
90000,92499,45,688
92500,94999,45,475
95000,97499,45,535
97500,99999,45,410
1e+05,3e+05,45,"16,650"
1,2499,55,262
2500,4999,55,100
5000,7499,55,168
7500,9999,55,444
10000,12499,55,429
12500,14999,55,353
15000,17499,55,330
17500,19999,55,352
20000,22499,55,426
22500,24999,55,376
25000,27499,55,410
27500,29999,55,288
30000,32499,55,472
32500,34999,55,279
35000,37499,55,451
37500,39999,55,252
40000,42499,55,434
42500,44999,55,375
45000,47499,55,422
47500,49999,55,321
50000,52499,55,497
52500,54999,55,301
55000,57499,55,385
57500,59999,55,326
60000,62499,55,453
62500,64999,55,291
65000,67499,55,396
67500,69999,55,258
70000,72499,55,390
72500,74999,55,275
75000,77499,55,432
77500,79999,55,278
80000,82499,55,396
82500,84999,55,213
85000,87499,55,310
87500,89999,55,212
90000,92499,55,384
92500,94999,55,240
95000,97499,55,272
97500,99999,55,225
1e+05,3e+05,55,"8,045"
1,2499,60,270
2500,4999,60,125
5000,7499,60,204
7500,9999,60,427
10000,12499,60,467
12500,14999,60,388
15000,17499,60,341
17500,19999,60,327
20000,22499,60,452
22500,24999,60,342
25000,27499,60,406
27500,29999,60,298
30000,32499,60,452
32500,34999,60,364
35000,37499,60,454
37500,39999,60,281
40000,42499,60,442
42500,44999,60,304
45000,47499,60,408
47500,49999,60,354
50000,52499,60,462
52500,54999,60,298
55000,57499,60,284
57500,59999,60,277
60000,62499,60,362
62500,64999,60,276
65000,67499,60,361
67500,69999,60,298
70000,72499,60,353
72500,74999,60,254
75000,77499,60,310
77500,79999,60,225
80000,82499,60,368
82500,84999,60,170
85000,87499,60,216
87500,89999,60,193
90000,92499,60,288
92500,94999,60,173
95000,97499,60,221
97500,99999,60,255
1e+05,3e+05,60,"6,382"
1,2499,65,290
2500,4999,65,152
5000,7499,65,221
7500,9999,65,629
10000,12499,65,794
12500,14999,65,787
15000,17499,65,827
17500,19999,65,663
20000,22499,65,824
22500,24999,65,850
25000,27499,65,818
27500,29999,65,896
30000,32499,65,840
32500,34999,65,662
35000,37499,65,785
37500,39999,65,610
40000,42499,65,688
42500,44999,65,609
45000,47499,65,662
47500,49999,65,594
50000,52499,65,669
52500,54999,65,620
55000,57499,65,557
57500,59999,65,546
60000,62499,65,555
62500,64999,65,400
65000,67499,65,423
67500,69999,65,394
70000,72499,65,417
72500,74999,65,472
75000,77499,65,448
77500,79999,65,326
80000,82499,65,398
82500,84999,65,263
85000,87499,65,309
87500,89999,65,283
90000,92499,65,286
92500,94999,65,338
95000,97499,65,284
97500,99999,65,307
1e+05,3e+05,65,"7,379"
1,2499,75,202
2500,4999,75,162
5000,7499,75,232
7500,9999,75,515
10000,12499,75,812
12500,14999,75,811
15000,17499,75,"1,059"
17500,19999,75,845
20000,22499,75,921
22500,24999,75,867
25000,27499,75,815
27500,29999,75,723
30000,32499,75,774
32500,34999,75,684
35000,37499,75,673
37500,39999,75,543
40000,42499,75,455
42500,44999,75,470
45000,47499,75,429
47500,49999,75,371
50000,52499,75,516
52500,54999,75,465
55000,57499,75,389
57500,59999,75,311
60000,62499,75,333
62500,64999,75,300
65000,67499,75,231
67500,69999,75,210
70000,72499,75,282
72500,74999,75,247
75000,77499,75,233
77500,79999,75,196
80000,82499,75,183
82500,84999,75,163
85000,87499,75,146
87500,89999,75,130
90000,92499,75,154
92500,94999,75,112
95000,97499,75,142
97500,99999,75,111
1e+05,3e+05,75,"2,643"
